distrito,numero_distrito,barrio,numero_barrio,tipo,nueva_construccion,metros2_const,n_habitaciones,n_banos,jardin,piscina,parking,precio_venta,eurosm2_distrito,eurosm2_barrio
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,60.0,3,1.0,False,False,False,119000,1983,1941.38
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,146.0,3,2.0,False,True,True,250000,1712,1912.8
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,115.0,4,2.0,False,False,False,215000,1870,2068.64
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,131.0,3,2.0,False,False,False,246000,1878,2068.64
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,85.0,3,1.0,False,False,False,145000,1706,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,123.0,4,2.0,False,False,True,315000,2561,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,87.0,3,1.0,False,False,False,300000,3448,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,140.0,5,2.0,False,False,False,307000,2193,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Dúplex,False,71.0,2,1.0,False,False,False,200000,2817,2284.48
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,102.0,3,2.0,False,False,True,355000,3480,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,55.0,2,1.0,False,False,False,114500,2082,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,100.0,4,2.0,False,False,False,190000,1900,2205.31
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,110.0,3,2.0,False,False,True,255000,2318,1912.8
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,41.0,3,1.0,False,False,False,105000,2561,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,84.0,2,2.0,False,False,True,290000,3452,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,68.0,2,1.0,False,False,False,199000,2926,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,70.0,2,1.0,False,False,False,121500,1736,2205.31
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,90.0,2,1.0,False,False,True,169000,1878,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,77.0,3,1.0,False,False,False,129900,1687,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,100.0,3,2.0,False,False,False,149900,1499,2068.64
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,50.0,2,1.0,False,False,False,95000,1900,2068.64
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,85.0,2,2.0,False,False,True,188999,2224,1931.95
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,109.0,3,2.0,False,False,False,159000,1459,1931.95
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,87.0,3,1.0,False,False,True,155000,1782,1941.38
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,120.0,4,2.0,False,False,False,170000,1417,2068.64
Usera,District 18,Orcasitas,Neighborhood 119,Áticos,False,62.0,2,1.0,False,True,True,250000,4032,1931.95
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,120.0,4,2.0,False,False,False,190000,1583,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,60.0,1,1.0,False,False,False,180000,3000,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,67.0,1,1.0,False,True,True,220000,3284,1912.8
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,70.0,2,1.0,False,False,False,199000,2843,2284.48
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,87.0,2,2.0,False,True,True,208000,2391,1931.95
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,40.0,1,1.0,False,False,False,119900,2998,1637.13
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,61.0,2,1.0,False,False,False,128000,2098,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,60.0,3,1.0,False,False,False,172000,2867,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,62.0,3,1.0,False,False,False,155000,2500,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,66.0,3,1.0,False,False,False,168000,2545,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,62.0,3,1.0,False,False,False,125000,2016,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,49.0,2,1.0,False,False,False,105000,2143,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,60.0,1,2.0,False,False,False,180000,3000,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,59.0,3,1.0,False,False,False,132000,2237,2284.48
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,80.0,3,1.0,False,False,False,160000,2000,1637.13
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,75.0,3,2.0,False,False,False,170000,2267,2068.64
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,70.0,2,2.0,False,False,True,189000,2700,1931.95
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,57.0,2,1.0,False,False,False,110000,1930,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,80.0,2,1.0,False,False,False,440000,5500,2284.48
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,127.0,4,2.0,False,False,False,159000,1252,1637.13
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,110.0,2,2.0,False,True,True,275000,2500,1637.13
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,42.0,2,1.0,False,False,False,140000,3333,2284.48
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,68.0,3,1.0,False,False,False,150000,2206,2205.31
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,100.0,3,2.0,False,False,False,190000,1900,2205.31
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,87.0,2,1.0,False,False,False,199000,2287,2068.64
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,73.0,2,1.0,False,False,False,169900,2327,2284.48
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,78.0,3,1.0,False,False,False,164000,2103,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,100.0,3,2.0,False,True,True,360000,3600,1912.8
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,62.0,3,1.0,False,False,False,130200,2100,2205.31
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,85.0,2,1.0,False,False,False,110000,1294,1931.95
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,92.0,2,2.0,False,True,True,245000,2663,1912.8
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,65.0,2,1.0,False,False,False,145000,2231,2068.64
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,35.0,2,1.0,False,False,False,130000,3714,2068.64
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,60.0,3,1.0,False,False,False,180000,3000,2205.31
Usera,District 18,Pradolongo,Neighborhood 120,Dúplex,False,105.0,2,2.0,False,False,False,300000,2857,2068.64
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,47.0,2,1.0,False,False,False,115000,2447,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,80.0,3,1.0,False,False,False,143000,1788,2284.48
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,75.0,3,1.0,False,False,False,127000,1693,1941.38
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,62.0,1,1.0,False,False,False,157000,2532,2284.48
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,120.0,3,2.0,False,True,True,260000,2167,1912.8
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,62.0,2,1.0,False,False,False,150000,2419,2205.31
Usera,District 18,Orcasitas,Neighborhood 119,Áticos,False,78.0,2,1.0,False,True,True,269000,3449,1931.95
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,60.0,2,1.0,False,False,False,110000,1833,2205.31
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,95.0,3,1.0,False,False,False,230000,2421,1637.13
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,86.0,2,2.0,False,True,False,225000,2616,1912.8
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,105.0,3,2.0,False,True,True,280000,2667,1912.8
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,64.0,2,1.0,False,False,True,210000,3281,1941.38
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,60.0,3,1.0,False,False,False,149999,2500,2205.31
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,94.0,3,1.0,False,False,False,180000,1915,2068.64
Usera,District 18,12 de Octubre-Orcasur,Neighborhood 123,Pisos,False,99.0,3,2.0,False,False,False,200000,2020,1637.13
Usera,District 18,Moscardó,Neighborhood 118,Dúplex,False,85.0,3,2.0,False,False,False,139900,1646,2284.48
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,140.0,3,2.0,False,False,False,180000,1286,1931.95
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,70.0,3,1.0,False,False,False,165000,2357,2284.48
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,125.0,3,2.0,False,False,True,165000,1320,2068.64
Usera,District 18,Almendrales,Neighborhood 117,Dúplex,False,130.0,2,2.0,False,False,True,278000,2138,2205.31
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,68.0,3,1.0,False,False,False,146000,2147,1941.38
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,70.0,2,1.0,False,False,False,160000,2286,2205.31
Usera,District 18,San Fermín,Neighborhood 121,Pisos,False,120.0,3,2.0,False,False,True,270000,2250,1912.8
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,141.0,3,2.0,False,False,False,250000,1773,1941.38
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,55.0,2,1.0,False,False,False,90000,1636,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,69.0,3,1.0,False,False,False,146000,2116,2284.48
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,47.0,2,1.0,False,False,False,124000,2638,1931.95
Usera,District 18,Almendrales,Neighborhood 117,Pisos,False,79.0,3,1.0,False,False,False,170000,2152,2205.31
Usera,District 18,Moscardó,Neighborhood 118,Pisos,False,85.0,3,1.0,False,False,False,179800,2115,2284.48
Usera,District 18,Orcasitas,Neighborhood 119,Casa o chalet,False,90.0,3,2.0,False,False,False,220000,2444,1931.95
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,113.0,3,2.0,False,False,False,170000,1504,2068.64
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,112.0,3,2.0,False,False,True,175000,1562,2068.64
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,115.0,3,2.0,False,False,False,150000,1304,1931.95
Usera,District 18,Zofío,Neighborhood 122,Pisos,False,80.0,3,1.0,False,False,False,132000,1650,1941.38
Usera,District 18,Orcasitas,Neighborhood 119,Pisos,False,115.0,3,2.0,False,False,False,175000,1522,1931.95
Usera,District 18,Pradolongo,Neighborhood 120,Pisos,False,43.0,2,1.0,False,False,False,130000,3023,2068.64
